h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,0,0,0.2766,99.723,0,0,0,0,0,0,0,0,2.3477,38.805,53.435,5.4117,0,0,0,0,0,0,0,0,12.086,69.759,17.878,0.2766,0,0,0,0,0,0,0.05,0.95,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,1.6337,30.486,56.614,11.266,0,0,0,0,0,0,0,0,19.26,38.401,42.339,0,0,0,0,0,0,0.92105,0.078947,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.81348,22.825,63.989,12.372,0,0,0,0,0,0,0,0,30.114,58.518,11.368,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1.8546,98.145,0,0,0,0,0,0,0,0,2.8536,29.723,56.184,11.24,0,0,0,0,0,0,0,0,12.179,57.746,27.924,2.1513,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,1.3222,30.139,58.466,10.072,0,0,0,0,0,0,0,0,18.67,61.581,19.748,0,0,0,0,0,0,0.97619,0.02381,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,99.639,0,0,0.36059,0,0,0,0,0,0,13.123,70.672,16.206,0,0,0,0,0,0,0,0,32.739,62.872,4.0283,0,0,0.36059,0,0,0,0.95238,0.047619,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0.28914,99.127,0,0.29213,0.29213,0,0,0,0,0,1.6739,14.511,72.204,11.319,0,0,0.29213,0,0,0,0,0,23.602,64.924,10.312,0.57828,0,0,0.58425,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0.49638,0,0.23162,0.23162,0.26476,95.113,0,0.5948,2.34,0.72801,0,0.49638,0.23162,0.26476,0.5948,7.2702,74.16,15.891,0,0.26476,0.82642,0,0.23162,0,0.23162,0,21.116,72.985,1.7727,0,0.99277,1.4804,1.1896,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1.167,0.34309,0.60461,0.26152,0.5624,94.156,0,0,1.8195,1.0854,0,1.167,0.26152,0.5624,0,4.6337,70.541,21.325,0.34309,0.5624,0.26152,0.34309,0.26152,0.34309,0.26152,0.34309,20.568,72.683,2.6349,0,1.6478,1.2571,0,0,0,0.91892,0.081081,0,0,0,1,0,0,0,0,1,0,0,0
2.4718,0.82658,1.7148,1.0645,1.2496,86.304,0.17635,0.60561,2.0134,3.2206,0.3527,2.2954,1.7517,0.89694,0.78196,5.6472,68.226,15.475,1.0029,1.0733,1.3357,1.5138,1.7517,0.66845,1.0645,1.1793,19.455,65.46,4.2287,0.51083,4.2939,0.17635,1.2112,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,7.7844,92.216,0,0,0,0,0,0,0,0,8.9965,19.571,61.931,9.0927,0.40876,0,0,0,0,0,0,0,7.6511,55.985,27.74,8.6236,0,0,0,0,0,0.27586,0.10345,0.62069,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,10.288,89.712,0,0,0,0,0,0,0,0,5.795,20.157,54.548,17.709,1.7914,0,0,0,0,0,0,0,3.4986,67.702,16.169,12.63,0,0,0,0,0,0,0.25,0.75,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,9.5493,90.107,0,0,0.34377,0,0,0,0.34377,0,5.5502,18.828,59.273,14.963,1.0426,0,0,0,0,0,0,0,0.4204,67.12,22.214,9.9016,0,0,0.34377,0,0,0.076923,0.53846,0.38462,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,3.4552,96.545,0,0,0,0,0,0,0,0,3.8455,18.565,67.743,9.847,0,0,0,0,0,0,0,0,12.357,65.793,17.408,4.4426,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,14.476,84.919,0,0,0.60551,0,0,0,0.60551,0,7.4263,18.84,56.645,13.341,3.1418,0,0,0,0,0,0,0,0.89892,61.238,19.616,17.641,0,0,0.60551,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,4.6336,95.366,0,0,0,0,0,0,0,0,1.1372,13.3,71.171,7.8776,6.5141,0,0,0,0,0,0,0,0,73.229,21,5.7708,0,0,0,0,0,0,0.16667,0.83333,0,0,1,0,0,0,0,1,0,0,0
