h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,15.174,66.04,18.786,0,0,0,0,0,0,0,0,49.95,40.332,9.7173,0,0,0,0,0,0,0.13043,0.26087,0.6087,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,99.392,0.60817,0,0,0,0,0,0,0,0,16.119,68.165,15.716,0,0,0,0,0,0,0,0,46.091,45.91,7.9987,0,0,0,0,0,0,0.91892,0.081081,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,97.637,2.3632,0,0,0,0,0,0,0,0,9.9732,68.085,21.941,0,0,0,0,0,0,0,0,45.331,52.509,2.1595,0,0,0,0,0,0,0.97619,0.02381,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,20.158,67.716,12.126,0,0,0,0,0,0,0,0,37.333,53.662,9.0052,0,0,0,0,0,0.018182,0.98182,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,98.905,1.0954,0,0,0,0,0,0,0,0,10.909,68.14,20.95,0,0,0,0,0,0,0,0,43.579,51.001,5.4202,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,99.519,0.48099,0,0,0,0,0,0,0,0,3.0732,73.409,23.518,0,0,0,0,0,0,0,0,26.588,73.412,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,97.143,2.8569,0,0,0,0,0,0,0,0,5.8356,77.503,16.662,0,0,0,0,0,0,0,0,30.721,67.568,1.711,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,94.765,5.235,0,0,0,0,0,0,0,0,5.8139,69.846,24.34,0,0,0,0,0,0,0,0,39.052,60.948,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,98.208,1.7921,0,0,0,0,0,0,0,0,1.7921,79.051,19.157,0,0,0,0,0,0,0,0,15.452,82.416,2.132,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,98.221,1.7792,0,0,0,0,0,0,0,0,0.95668,79.021,20.023,0,0,0,0,0,0,0,0,15.865,82.448,1.6863,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,17.586,73.108,9.3061,0,0,0,0,0,0,0,0,20.65,56.938,17.946,4.4662,0,0,0,0,0,0.125,0.1875,0.6875,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,12.444,81.242,6.3141,0,0,0,0,0,0,0,0,1.1823,86.533,8.0188,4.2663,0,0,0,0,0,0.060606,0.51515,0.42424,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,99.445,0.5551,0,0,0,0,0,0,0,0,16.402,74.314,9.2836,0,0,0,0,0,0,0,0,20.505,67.107,9.7339,2.6542,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,17.351,68.509,14.14,0,0,0,0,0,0,0,0,1.3843,75.824,17.639,5.1528,0,0,0,0,0,0.99237,0.0076336,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,14.81,70.825,14.365,0,0,0,0,0,0,0,0,0,62.415,30.43,7.155,0,0,0,0,0,0.36957,0.13043,0.5,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,12.759,75.159,12.081,0,0,0,0,0,0,0,0,0,71.039,28.961,0,0,0,0,0,0,0.041667,0.22917,0.72917,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,12.319,79.433,8.2487,0,0,0,0,0,0,0,0,0,83.596,13.268,3.1353,0,0,0,0,0,0.95968,0.040323,0,0,0,1,0,0,0,0,1,0,0,0
